Provincias;Nacionalidad;Sexo;periodo;Total
Palencia;2.13.-Resto América;Masculino;2018;0
Palencia;2.13.-Resto América;Femenino;2024;2
Palencia;2.13.-Resto América;Femenino;2023;4
Palencia;2.13.-Resto América;Femenino;2022;1
Palencia;2.13.-Resto América;Femenino;2021;3
Palencia;2.13.-Resto América;Femenino;2020;0
Palencia;2.13.-Resto América;Femenino;2019;0
Palencia;2.13.-Resto América;Femenino;2018;3
Palencia;2.13.-Resto América;Ambos sexos;2024;5
Palencia;2.13.-Resto América;Ambos sexos;2023;6
Palencia;2.13.-Resto América;Ambos sexos;2022;3
Palencia;2.13.-Resto América;Ambos sexos;2021;4
Palencia;2.13.-Resto América;Ambos sexos;2020;1
Palencia;2.13.-Resto América;Ambos sexos;2019;1
Palencia;2.13.-Resto América;Ambos sexos;2018;3
Palencia;3.-CONTINENTE ASIÁTICO;Masculino;2024;5
Palencia;3.-CONTINENTE ASIÁTICO;Masculino;2023;7
Palencia;3.-CONTINENTE ASIÁTICO;Masculino;2022;10
Palencia;3.-CONTINENTE ASIÁTICO;Masculino;2021;3
Palencia;3.-CONTINENTE ASIÁTICO;Masculino;2020;1
Palencia;3.-CONTINENTE ASIÁTICO;Masculino;2019;1
Palencia;3.-CONTINENTE ASIÁTICO;Masculino;2018;6
Palencia;3.-CONTINENTE ASIÁTICO;Femenino;2024;3
Palencia;3.-CONTINENTE ASIÁTICO;Femenino;2023;0
Palencia;3.-CONTINENTE ASIÁTICO;Femenino;2022;1
Palencia;3.-CONTINENTE ASIÁTICO;Femenino;2021;0
Palencia;3.-CONTINENTE ASIÁTICO;Femenino;2020;0
Palencia;3.-CONTINENTE ASIÁTICO;Femenino;2019;0
Palencia;3.-CONTINENTE ASIÁTICO;Femenino;2018;0
Palencia;3.-CONTINENTE ASIÁTICO;Ambos sexos;2024;8
Palencia;3.-CONTINENTE ASIÁTICO;Ambos sexos;2023;7
Palencia;3.-CONTINENTE ASIÁTICO;Ambos sexos;2022;11
Palencia;3.-CONTINENTE ASIÁTICO;Ambos sexos;2021;3
Palencia;3.-CONTINENTE ASIÁTICO;Ambos sexos;2020;1
Palencia;3.-CONTINENTE ASIÁTICO;Ambos sexos;2019;1
Palencia;3.-CONTINENTE ASIÁTICO;Ambos sexos;2018;6
Palencia;3.01.-China;Masculino;2024;2
Palencia;3.01.-China;Masculino;2023;0
Palencia;3.01.-China;Masculino;2022;4
Palencia;3.01.-China;Masculino;2021;2
Palencia;3.01.-China;Masculino;2020;0
Palencia;3.01.-China;Masculino;2019;0
Palencia;3.01.-China;Masculino;2018;3
Palencia;3.01.-China;Femenino;2024;3
Palencia;3.01.-China;Femenino;2023;0
Palencia;3.01.-China;Femenino;2022;1
Palencia;3.01.-China;Femenino;2021;0
Palencia;3.01.-China;Femenino;2020;0
Palencia;3.01.-China;Femenino;2019;0
Palencia;3.01.-China;Femenino;2018;0
Palencia;3.01.-China;Ambos sexos;2024;5
Palencia;3.01.-China;Ambos sexos;2023;0
Palencia;3.01.-China;Ambos sexos;2022;5
Palencia;3.01.-China;Ambos sexos;2021;2
Palencia;3.01.-China;Ambos sexos;2020;0
Palencia;3.01.-China;Ambos sexos;2019;0
Palencia;3.01.-China;Ambos sexos;2018;3
Palencia;3.02.-Paquistán;Masculino;2024;0
Palencia;3.02.-Paquistán;Masculino;2023;4
Palencia;3.02.-Paquistán;Masculino;2022;3
Palencia;3.02.-Paquistán;Masculino;2021;1
Palencia;3.02.-Paquistán;Masculino;2020;1
Palencia;3.02.-Paquistán;Masculino;2019;0
Palencia;3.02.-Paquistán;Masculino;2018;2
Palencia;3.02.-Paquistán;Femenino;2024;0
Palencia;3.02.-Paquistán;Femenino;2023;0
Palencia;3.02.-Paquistán;Femenino;2022;0
Palencia;3.02.-Paquistán;Femenino;2021;0
Palencia;3.02.-Paquistán;Femenino;2020;0
Palencia;3.02.-Paquistán;Femenino;2019;0
Palencia;3.02.-Paquistán;Femenino;2018;0
Palencia;3.02.-Paquistán;Ambos sexos;2024;0
Palencia;3.02.-Paquistán;Ambos sexos;2023;4
Palencia;3.02.-Paquistán;Ambos sexos;2022;3
Palencia;3.02.-Paquistán;Ambos sexos;2021;1
Palencia;3.02.-Paquistán;Ambos sexos;2020;1
Palencia;3.02.-Paquistán;Ambos sexos;2019;0
Palencia;3.02.-Paquistán;Ambos sexos;2018;2
Palencia;3.03.-India;Masculino;2024;2
Palencia;3.03.-India;Masculino;2023;2
Palencia;3.03.-India;Masculino;2022;3
Palencia;3.03.-India;Masculino;2021;0
Palencia;3.03.-India;Masculino;2020;0
Palencia;3.03.-India;Masculino;2019;0
Palencia;3.03.-India;Masculino;2018;0
Palencia;3.03.-India;Femenino;2024;0
Palencia;3.03.-India;Femenino;2023;0
Palencia;3.03.-India;Femenino;2022;0
Palencia;3.03.-India;Femenino;2021;0
Palencia;3.03.-India;Femenino;2020;0
Palencia;3.03.-India;Femenino;2019;0
Palencia;3.03.-India;Femenino;2018;0
Palencia;3.03.-India;Ambos sexos;2024;2
Palencia;3.03.-India;Ambos sexos;2023;2
Palencia;3.03.-India;Ambos sexos;2022;3
Palencia;3.03.-India;Ambos sexos;2021;0
Palencia;3.03.-India;Ambos sexos;2020;0
Palencia;3.03.-India;Ambos sexos;2019;0
Palencia;3.03.-India;Ambos sexos;2018;0
Palencia;3.04.-Bangladesh;Masculino;2024;0
Palencia;3.04.-Bangladesh;Masculino;2023;0
Palencia;3.04.-Bangladesh;Masculino;2022;0
Palencia;3.04.-Bangladesh;Masculino;2021;0
Palencia;3.04.-Bangladesh;Masculino;2020;0
Palencia;3.04.-Bangladesh;Masculino;2019;0
Palencia;3.04.-Bangladesh;Masculino;2018;0
Palencia;3.04.-Bangladesh;Femenino;2024;0
Palencia;3.04.-Bangladesh;Femenino;2023;0
Palencia;3.04.-Bangladesh;Femenino;2022;0
Palencia;3.04.-Bangladesh;Femenino;2021;0
Palencia;3.04.-Bangladesh;Femenino;2020;0
Palencia;3.04.-Bangladesh;Femenino;2019;0
Palencia;3.04.-Bangladesh;Femenino;2018;0
Palencia;3.04.-Bangladesh;Ambos sexos;2024;0
Palencia;3.04.-Bangladesh;Ambos sexos;2023;0
Palencia;3.04.-Bangladesh;Ambos sexos;2022;0
Palencia;3.04.-Bangladesh;Ambos sexos;2021;0
Palencia;3.04.-Bangladesh;Ambos sexos;2020;0
Palencia;3.04.-Bangladesh;Ambos sexos;2019;0
Palencia;3.04.-Bangladesh;Ambos sexos;2018;0
Palencia;3.05.-Irán;Masculino;2024;0
Palencia;3.05.-Irán;Masculino;2023;0
Palencia;3.05.-Irán;Masculino;2022;0
Palencia;3.05.-Irán;Masculino;2021;0
Palencia;3.05.-Irán;Masculino;2020;0
Palencia;3.05.-Irán;Masculino;2019;0
Palencia;3.05.-Irán;Masculino;2018;0
Palencia;3.05.-Irán;Femenino;2024;0
Palencia;3.05.-Irán;Femenino;2023;0
Palencia;3.05.-Irán;Femenino;2022;0
Palencia;3.05.-Irán;Femenino;2021;0
Palencia;3.05.-Irán;Femenino;2020;0
Palencia;3.05.-Irán;Femenino;2019;0
Palencia;3.05.-Irán;Femenino;2018;0
Palencia;3.05.-Irán;Ambos sexos;2024;0
Palencia;3.05.-Irán;Ambos sexos;2023;0
Palencia;3.05.-Irán;Ambos sexos;2022;0
Palencia;3.05.-Irán;Ambos sexos;2021;0
Palencia;3.05.-Irán;Ambos sexos;2020;0
Palencia;3.05.-Irán;Ambos sexos;2019;0
Palencia;3.05.-Irán;Ambos sexos;2018;0
Palencia;3.06.-Filipinas;Masculino;2024;0
Palencia;3.06.-Filipinas;Masculino;2023;0
Palencia;3.06.-Filipinas;Masculino;2022;0
Palencia;3.06.-Filipinas;Masculino;2021;0
Palencia;3.06.-Filipinas;Masculino;2020;0
Palencia;3.06.-Filipinas;Masculino;2019;0
Palencia;3.06.-Filipinas;Masculino;2018;0
Palencia;3.06.-Filipinas;Femenino;2024;0
Palencia;3.06.-Filipinas;Femenino;2023;0
Palencia;3.06.-Filipinas;Femenino;2022;0
Palencia;3.06.-Filipinas;Femenino;2021;0
Palencia;3.06.-Filipinas;Femenino;2020;0
Palencia;3.06.-Filipinas;Femenino;2019;0
Palencia;3.06.-Filipinas;Femenino;2018;0
Palencia;3.06.-Filipinas;Ambos sexos;2024;0
Palencia;3.06.-Filipinas;Ambos sexos;2023;0
Palencia;3.06.-Filipinas;Ambos sexos;2022;0
Palencia;3.06.-Filipinas;Ambos sexos;2021;0
Palencia;3.06.-Filipinas;Ambos sexos;2020;0
Palencia;3.06.-Filipinas;Ambos sexos;2019;0
Palencia;3.06.-Filipinas;Ambos sexos;2018;0
Palencia;3.07.-Resto de Asia;Masculino;2024;1
Palencia;3.07.-Resto de Asia;Masculino;2023;1
Palencia;3.07.-Resto de Asia;Masculino;2022;0
Palencia;3.07.-Resto de Asia;Masculino;2021;0
Palencia;3.07.-Resto de Asia;Masculino;2020;0
Palencia;3.07.-Resto de Asia;Masculino;2019;1
Palencia;3.07.-Resto de Asia;Masculino;2018;1
Palencia;3.07.-Resto de Asia;Femenino;2024;0
Palencia;3.07.-Resto de Asia;Femenino;2023;0
Palencia;3.07.-Resto de Asia;Femenino;2022;0
Palencia;3.07.-Resto de Asia;Femenino;2021;0
Palencia;3.07.-Resto de Asia;Femenino;2020;0
Palencia;3.07.-Resto de Asia;Femenino;2019;0
Palencia;3.07.-Resto de Asia;Femenino;2018;0
Palencia;3.07.-Resto de Asia;Ambos sexos;2024;1
Palencia;3.07.-Resto de Asia;Ambos sexos;2023;1
Palencia;3.07.-Resto de Asia;Ambos sexos;2022;0
Palencia;3.07.-Resto de Asia;Ambos sexos;2021;0
Palencia;3.07.-Resto de Asia;Ambos sexos;2020;0
Palencia;3.07.-Resto de Asia;Ambos sexos;2019;1
Palencia;3.07.-Resto de Asia;Ambos sexos;2018;1
Palencia;4.-CONTINENTE EUROPEO;Masculino;2024;63
Palencia;4.-CONTINENTE EUROPEO;Masculino;2023;57
Palencia;4.-CONTINENTE EUROPEO;Masculino;2022;49
Palencia;4.-CONTINENTE EUROPEO;Masculino;2021;32
Palencia;4.-CONTINENTE EUROPEO;Masculino;2020;34
Palencia;4.-CONTINENTE EUROPEO;Masculino;2019;49
Palencia;4.-CONTINENTE EUROPEO;Masculino;2018;54
Palencia;4.-CONTINENTE EUROPEO;Femenino;2024;3
Palencia;4.-CONTINENTE EUROPEO;Femenino;2023;16
Palencia;4.-CONTINENTE EUROPEO;Femenino;2022;10
Palencia;4.-CONTINENTE EUROPEO;Femenino;2021;9
Palencia;4.-CONTINENTE EUROPEO;Femenino;2020;6
Palencia;4.-CONTINENTE EUROPEO;Femenino;2019;10
Palencia;4.-CONTINENTE EUROPEO;Femenino;2018;17
Palencia;4.-CONTINENTE EUROPEO;Ambos sexos;2024;66
Palencia;4.-CONTINENTE EUROPEO;Ambos sexos;2023;73
Palencia;4.-CONTINENTE EUROPEO;Ambos sexos;2022;59
Palencia;4.-CONTINENTE EUROPEO;Ambos sexos;2021;41
Palencia;4.-CONTINENTE EUROPEO;Ambos sexos;2020;40
Palencia;4.-CONTINENTE EUROPEO;Ambos sexos;2019;59
Palencia;4.-CONTINENTE EUROPEO;Ambos sexos;2018;71
Palencia;4.01.-Rumanía;Masculino;2024;20
Palencia;4.01.-Rumanía;Masculino;2023;18
Palencia;4.01.-Rumanía;Masculino;2022;23
Palencia;4.01.-Rumanía;Masculino;2021;14
Palencia;4.01.-Rumanía;Masculino;2020;9
Palencia;4.01.-Rumanía;Masculino;2019;14
Palencia;4.01.-Rumanía;Masculino;2018;21
Palencia;4.01.-Rumanía;Femenino;2024;2
Palencia;4.01.-Rumanía;Femenino;2023;10
Palencia;4.01.-Rumanía;Femenino;2022;6
Palencia;4.01.-Rumanía;Femenino;2021;4
Palencia;4.01.-Rumanía;Femenino;2020;2
Palencia;4.01.-Rumanía;Femenino;2019;6
Palencia;4.01.-Rumanía;Femenino;2018;7
Palencia;4.01.-Rumanía;Ambos sexos;2024;22
Palencia;4.01.-Rumanía;Ambos sexos;2023;28
Palencia;4.01.-Rumanía;Ambos sexos;2022;29
Palencia;4.01.-Rumanía;Ambos sexos;2021;18
Palencia;4.01.-Rumanía;Ambos sexos;2020;11
Palencia;4.01.-Rumanía;Ambos sexos;2019;20
Palencia;4.01.-Rumanía;Ambos sexos;2018;28
Palencia;4.02.-Bulgaría;Masculino;2024;10
Palencia;4.02.-Bulgaría;Masculino;2023;15
Palencia;4.02.-Bulgaría;Masculino;2022;4
Palencia;4.02.-Bulgaría;Masculino;2021;7
Palencia;4.02.-Bulgaría;Masculino;2020;3
Palencia;4.02.-Bulgaría;Masculino;2019;6
Palencia;4.02.-Bulgaría;Masculino;2018;12
Palencia;4.02.-Bulgaría;Femenino;2024;0
Palencia;4.02.-Bulgaría;Femenino;2023;2
Palencia;4.02.-Bulgaría;Femenino;2022;0
Palencia;4.02.-Bulgaría;Femenino;2021;0
Palencia;4.02.-Bulgaría;Femenino;2020;2
Palencia;4.02.-Bulgaría;Femenino;2019;0
Palencia;4.02.-Bulgaría;Femenino;2018;2
Palencia;4.02.-Bulgaría;Ambos sexos;2024;10
Palencia;4.02.-Bulgaría;Ambos sexos;2023;17
Palencia;4.02.-Bulgaría;Ambos sexos;2022;4
Palencia;4.02.-Bulgaría;Ambos sexos;2021;7
Palencia;4.02.-Bulgaría;Ambos sexos;2020;5
Palencia;4.02.-Bulgaría;Ambos sexos;2019;6
Palencia;4.02.-Bulgaría;Ambos sexos;2018;14
Palencia;4.03.-Reino Unido;Masculino;2024;1
Palencia;4.03.-Reino Unido;Masculino;2023;1
Palencia;4.03.-Reino Unido;Masculino;2022;0
Palencia;4.03.-Reino Unido;Masculino;2021;0
Palencia;4.03.-Reino Unido;Masculino;2020;0
Palencia;4.03.-Reino Unido;Masculino;2019;1
Palencia;4.03.-Reino Unido;Masculino;2018;0
Palencia;4.03.-Reino Unido;Femenino;2024;0
Palencia;4.03.-Reino Unido;Femenino;2023;0
Palencia;4.03.-Reino Unido;Femenino;2022;0
Palencia;4.03.-Reino Unido;Femenino;2021;2
Palencia;4.03.-Reino Unido;Femenino;2020;1
Palencia;4.03.-Reino Unido;Femenino;2019;1
Palencia;4.03.-Reino Unido;Femenino;2018;0
Palencia;4.03.-Reino Unido;Ambos sexos;2024;1
Palencia;4.03.-Reino Unido;Ambos sexos;2023;1
Palencia;4.03.-Reino Unido;Ambos sexos;2022;0
Palencia;4.03.-Reino Unido;Ambos sexos;2021;2
Palencia;4.03.-Reino Unido;Ambos sexos;2020;1
Palencia;4.03.-Reino Unido;Ambos sexos;2019;2
Palencia;4.03.-Reino Unido;Ambos sexos;2018;0
Palencia;4.04.-Portugal;Masculino;2024;9
Palencia;4.04.-Portugal;Masculino;2023;7
Palencia;4.04.-Portugal;Masculino;2022;3
Palencia;4.04.-Portugal;Masculino;2021;7
Palencia;4.04.-Portugal;Masculino;2020;4
Palencia;4.04.-Portugal;Masculino;2019;11
Palencia;4.04.-Portugal;Masculino;2018;12
Palencia;4.04.-Portugal;Femenino;2024;1
Palencia;4.04.-Portugal;Femenino;2023;2
Palencia;4.04.-Portugal;Femenino;2022;0
Palencia;4.04.-Portugal;Femenino;2021;1
Palencia;4.04.-Portugal;Femenino;2020;0
Palencia;4.04.-Portugal;Femenino;2019;0
Palencia;4.04.-Portugal;Femenino;2018;2
Palencia;4.04.-Portugal;Ambos sexos;2024;10
Palencia;4.04.-Portugal;Ambos sexos;2023;9
Palencia;4.04.-Portugal;Ambos sexos;2022;3
Palencia;4.04.-Portugal;Ambos sexos;2021;8
Palencia;4.04.-Portugal;Ambos sexos;2020;4
Palencia;4.04.-Portugal;Ambos sexos;2019;11
Palencia;4.04.-Portugal;Ambos sexos;2018;14
Palencia;4.05.-Francia;Masculino;2024;1
Palencia;4.05.-Francia;Masculino;2023;2
Palencia;4.05.-Francia;Masculino;2022;3
Palencia;4.05.-Francia;Masculino;2021;0
Palencia;4.05.-Francia;Masculino;2020;4
Palencia;4.05.-Francia;Masculino;2019;3
Palencia;4.05.-Francia;Masculino;2018;1
Palencia;4.05.-Francia;Femenino;2024;0
Palencia;4.05.-Francia;Femenino;2023;0
Palencia;4.05.-Francia;Femenino;2022;1
Palencia;4.05.-Francia;Femenino;2021;0
Palencia;4.05.-Francia;Femenino;2020;0
Palencia;4.05.-Francia;Femenino;2019;1
Palencia;4.05.-Francia;Femenino;2018;0
Palencia;4.05.-Francia;Ambos sexos;2024;1
Palencia;4.05.-Francia;Ambos sexos;2023;2
Palencia;4.05.-Francia;Ambos sexos;2022;4
Palencia;4.05.-Francia;Ambos sexos;2021;0
Palencia;4.05.-Francia;Ambos sexos;2020;4
Palencia;4.05.-Francia;Ambos sexos;2019;4
Palencia;4.05.-Francia;Ambos sexos;2018;1
Palencia;4.06.-Italia;Masculino;2024;0
Palencia;4.06.-Italia;Masculino;2023;1
Palencia;4.06.-Italia;Masculino;2022;2
Palencia;4.06.-Italia;Masculino;2021;0
Palencia;4.06.-Italia;Masculino;2020;3
Palencia;4.06.-Italia;Masculino;2019;1
Palencia;4.06.-Italia;Masculino;2018;0
Palencia;4.06.-Italia;Femenino;2024;0
Palencia;4.06.-Italia;Femenino;2023;1
Palencia;4.06.-Italia;Femenino;2022;0
Palencia;4.06.-Italia;Femenino;2021;0
Palencia;4.06.-Italia;Femenino;2020;0
Palencia;4.06.-Italia;Femenino;2019;1
Palencia;4.06.-Italia;Femenino;2018;0
Palencia;4.06.-Italia;Ambos sexos;2024;0
Palencia;4.06.-Italia;Ambos sexos;2023;2
Palencia;4.06.-Italia;Ambos sexos;2022;2
Palencia;4.06.-Italia;Ambos sexos;2021;0
Palencia;4.06.-Italia;Ambos sexos;2020;3
Palencia;4.06.-Italia;Ambos sexos;2019;2
Palencia;4.06.-Italia;Ambos sexos;2018;0
Palencia;4.07.-Alemania;Masculino;2024;1
Palencia;4.07.-Alemania;Masculino;2023;0
Palencia;4.07.-Alemania;Masculino;2022;2
Palencia;4.07.-Alemania;Masculino;2021;0
Palencia;4.07.-Alemania;Masculino;2020;0
Palencia;4.07.-Alemania;Masculino;2019;1
Palencia;4.07.-Alemania;Masculino;2018;1
Palencia;4.07.-Alemania;Femenino;2024;0
Palencia;4.07.-Alemania;Femenino;2023;0
Palencia;4.07.-Alemania;Femenino;2022;0
Palencia;4.07.-Alemania;Femenino;2021;0
Palencia;4.07.-Alemania;Femenino;2020;0
Palencia;4.07.-Alemania;Femenino;2019;0
Palencia;4.07.-Alemania;Femenino;2018;0
Palencia;4.07.-Alemania;Ambos sexos;2024;1
Palencia;4.07.-Alemania;Ambos sexos;2023;0
Palencia;4.07.-Alemania;Ambos sexos;2022;2
Palencia;4.07.-Alemania;Ambos sexos;2021;0
Palencia;4.07.-Alemania;Ambos sexos;2020;0
Palencia;4.07.-Alemania;Ambos sexos;2019;1
Palencia;4.07.-Alemania;Ambos sexos;2018;1
Palencia;4.08.-Polonia;Masculino;2024;5
Palencia;4.08.-Polonia;Masculino;2023;1
Palencia;4.08.-Polonia;Masculino;2022;0
Palencia;4.08.-Polonia;Masculino;2021;1
Palencia;4.08.-Polonia;Masculino;2020;3
Palencia;4.08.-Polonia;Masculino;2019;2
Palencia;4.08.-Polonia;Masculino;2018;2
Palencia;4.08.-Polonia;Femenino;2024;0
Palencia;4.08.-Polonia;Femenino;2023;0
Palencia;4.08.-Polonia;Femenino;2022;1
Palencia;4.08.-Polonia;Femenino;2021;0
Palencia;4.08.-Polonia;Femenino;2020;0
Palencia;4.08.-Polonia;Femenino;2019;1
Palencia;4.08.-Polonia;Femenino;2018;1
Palencia;4.08.-Polonia;Ambos sexos;2024;5
Palencia;4.08.-Polonia;Ambos sexos;2023;1
Palencia;4.08.-Polonia;Ambos sexos;2022;1
Palencia;4.08.-Polonia;Ambos sexos;2021;1
Palencia;4.08.-Polonia;Ambos sexos;2020;3
Palencia;4.08.-Polonia;Ambos sexos;2019;3
Palencia;4.08.-Polonia;Ambos sexos;2018;3
Palencia;4.09.-Ucrania;Masculino;2024;6
Palencia;4.09.-Ucrania;Masculino;2023;3
Palencia;4.09.-Ucrania;Masculino;2022;1
Palencia;4.09.-Ucrania;Masculino;2021;1
Palencia;4.09.-Ucrania;Masculino;2020;0
Palencia;4.09.-Ucrania;Masculino;2019;2
Palencia;4.09.-Ucrania;Masculino;2018;0
Palencia;4.09.-Ucrania;Femenino;2024;0
Palencia;4.09.-Ucrania;Femenino;2023;1
Palencia;4.09.-Ucrania;Femenino;2022;1
Palencia;4.09.-Ucrania;Femenino;2021;0
Palencia;4.09.-Ucrania;Femenino;2020;0
Palencia;4.09.-Ucrania;Femenino;2019;0
Palencia;4.09.-Ucrania;Femenino;2018;0
Palencia;4.09.-Ucrania;Ambos sexos;2024;6
Palencia;4.09.-Ucrania;Ambos sexos;2023;4
Palencia;4.09.-Ucrania;Ambos sexos;2022;2
Palencia;4.09.-Ucrania;Ambos sexos;2021;1
Palencia;4.09.-Ucrania;Ambos sexos;2020;0
Palencia;4.09.-Ucrania;Ambos sexos;2019;2
Palencia;4.09.-Ucrania;Ambos sexos;2018;0
Palencia;4.10.-Rusia;Masculino;2024;0
Palencia;4.10.-Rusia;Masculino;2023;1
Palencia;4.10.-Rusia;Masculino;2022;0
Palencia;4.10.-Rusia;Masculino;2021;1
Palencia;4.10.-Rusia;Masculino;2020;0
Palencia;4.10.-Rusia;Masculino;2019;0
Palencia;4.10.-Rusia;Masculino;2018;0
Palencia;4.10.-Rusia;Femenino;2024;0
Palencia;4.10.-Rusia;Femenino;2023;0
Palencia;4.10.-Rusia;Femenino;2022;0
Palencia;4.10.-Rusia;Femenino;2021;0
Palencia;4.10.-Rusia;Femenino;2020;1
Palencia;4.10.-Rusia;Femenino;2019;0
Palencia;4.10.-Rusia;Femenino;2018;3
Palencia;4.10.-Rusia;Ambos sexos;2024;0
Palencia;4.10.-Rusia;Ambos sexos;2023;1
Palencia;4.10.-Rusia;Ambos sexos;2022;0
Palencia;4.10.-Rusia;Ambos sexos;2021;1
Palencia;4.10.-Rusia;Ambos sexos;2020;1
Palencia;4.10.-Rusia;Ambos sexos;2019;0
Palencia;4.10.-Rusia;Ambos sexos;2018;3
Palencia;4.11.-Lituania;Masculino;2024;0
Palencia;4.11.-Lituania;Masculino;2023;0
Palencia;4.11.-Lituania;Masculino;2022;3
Palencia;4.11.-Lituania;Masculino;2021;0
Palencia;4.11.-Lituania;Masculino;2020;0
Palencia;4.11.-Lituania;Masculino;2019;0
Palencia;4.11.-Lituania;Masculino;2018;0
Palencia;4.11.-Lituania;Femenino;2024;0
Palencia;4.11.-Lituania;Femenino;2023;0
Palencia;4.11.-Lituania;Femenino;2022;0
Palencia;4.11.-Lituania;Femenino;2021;0
Palencia;4.11.-Lituania;Femenino;2020;0
Palencia;4.11.-Lituania;Femenino;2019;0
Palencia;4.11.-Lituania;Femenino;2018;0
Palencia;4.11.-Lituania;Ambos sexos;2024;0
Palencia;4.11.-Lituania;Ambos sexos;2023;0
Palencia;4.11.-Lituania;Ambos sexos;2022;3
Palencia;4.11.-Lituania;Ambos sexos;2021;0
Palencia;4.11.-Lituania;Ambos sexos;2020;0
Palencia;4.11.-Lituania;Ambos sexos;2019;0
Palencia;4.11.-Lituania;Ambos sexos;2018;0
Palencia;4.12.-Holanda;Masculino;2024;0
Palencia;4.12.-Holanda;Masculino;2023;2
Palencia;4.12.-Holanda;Masculino;2022;1
Palencia;4.12.-Holanda;Masculino;2021;0
Palencia;4.12.-Holanda;Masculino;2020;2
Palencia;4.12.-Holanda;Masculino;2019;3
Palencia;4.12.-Holanda;Masculino;2018;0
Palencia;4.12.-Holanda;Femenino;2024;0
Palencia;4.12.-Holanda;Femenino;2023;0
Palencia;4.12.-Holanda;Femenino;2022;0
Palencia;4.12.-Holanda;Femenino;2021;0
Palencia;4.12.-Holanda;Femenino;2020;0
Palencia;4.12.-Holanda;Femenino;2019;0
Palencia;4.12.-Holanda;Femenino;2018;0
Palencia;4.12.-Holanda;Ambos sexos;2024;0
Palencia;4.12.-Holanda;Ambos sexos;2023;2
Palencia;4.12.-Holanda;Ambos sexos;2022;1
Palencia;4.12.-Holanda;Ambos sexos;2021;0
Palencia;4.12.-Holanda;Ambos sexos;2020;2
Palencia;4.12.-Holanda;Ambos sexos;2019;3
Palencia;4.12.-Holanda;Ambos sexos;2018;0
Palencia;4.13.-Bélgica;Masculino;2024;1
Palencia;4.13.-Bélgica;Masculino;2023;1
Palencia;4.13.-Bélgica;Masculino;2022;1
Palencia;4.13.-Bélgica;Masculino;2021;0
Palencia;4.13.-Bélgica;Masculino;2020;0
Palencia;4.13.-Bélgica;Masculino;2019;0
Palencia;4.13.-Bélgica;Masculino;2018;0
Palencia;4.13.-Bélgica;Femenino;2024;0
Palencia;4.13.-Bélgica;Femenino;2023;0
Palencia;4.13.-Bélgica;Femenino;2022;0
Palencia;4.13.-Bélgica;Femenino;2021;0
Palencia;4.13.-Bélgica;Femenino;2020;0
Palencia;4.13.-Bélgica;Femenino;2019;0
Palencia;4.13.-Bélgica;Femenino;2018;0
Palencia;4.13.-Bélgica;Ambos sexos;2024;1
Palencia;4.13.-Bélgica;Ambos sexos;2023;1
Palencia;4.13.-Bélgica;Ambos sexos;2022;1
Palencia;4.13.-Bélgica;Ambos sexos;2021;0
Palencia;4.13.-Bélgica;Ambos sexos;2020;0
Palencia;4.13.-Bélgica;Ambos sexos;2019;0
Palencia;4.13.-Bélgica;Ambos sexos;2018;0
Palencia;4.14.-Resto de Europa;Masculino;2024;9
Palencia;4.14.-Resto de Europa;Masculino;2023;5
Palencia;4.14.-Resto de Europa;Masculino;2022;6
Palencia;4.14.-Resto de Europa;Masculino;2021;1
Palencia;4.14.-Resto de Europa;Masculino;2020;6
Palencia;4.14.-Resto de Europa;Masculino;2019;5
Palencia;4.14.-Resto de Europa;Masculino;2018;5
Palencia;4.14.-Resto de Europa;Femenino;2024;0
Palencia;4.14.-Resto de Europa;Femenino;2023;0
Palencia;4.14.-Resto de Europa;Femenino;2022;1
Palencia;4.14.-Resto de Europa;Femenino;2021;2
Palencia;4.14.-Resto de Europa;Femenino;2020;0
Palencia;4.14.-Resto de Europa;Femenino;2019;0
Palencia;4.14.-Resto de Europa;Femenino;2018;2
Palencia;4.14.-Resto de Europa;Ambos sexos;2024;9
Palencia;4.14.-Resto de Europa;Ambos sexos;2023;5
Palencia;4.14.-Resto de Europa;Ambos sexos;2022;7
Palencia;4.14.-Resto de Europa;Ambos sexos;2021;3
Palencia;4.14.-Resto de Europa;Ambos sexos;2020;6
Palencia;4.14.-Resto de Europa;Ambos sexos;2019;5
Palencia;4.14.-Resto de Europa;Ambos sexos;2018;7
Palencia;5.-OCEANÍA;Masculino;2024;0
Palencia;5.-OCEANÍA;Masculino;2023;0
Palencia;5.-OCEANÍA;Masculino;2022;0
Palencia;5.-OCEANÍA;Masculino;2021;0
Palencia;5.-OCEANÍA;Masculino;2020;0
Palencia;5.-OCEANÍA;Masculino;2019;0
Palencia;5.-OCEANÍA;Masculino;2018;0
Palencia;5.-OCEANÍA;Femenino;2024;0
Palencia;5.-OCEANÍA;Femenino;2023;0
Palencia;5.-OCEANÍA;Femenino;2022;0
Palencia;5.-OCEANÍA;Femenino;2021;0
Palencia;5.-OCEANÍA;Femenino;2020;0
Palencia;5.-OCEANÍA;Femenino;2019;0
Palencia;5.-OCEANÍA;Femenino;2018;0
Palencia;5.-OCEANÍA;Ambos sexos;2024;0
Palencia;5.-OCEANÍA;Ambos sexos;2023;0
Palencia;5.-OCEANÍA;Ambos sexos;2022;0
Palencia;5.-OCEANÍA;Ambos sexos;2021;0
Palencia;5.-OCEANÍA;Ambos sexos;2020;0
